auid,name,EthnicSeer,prop,lastname,firstname,Ethnea,Genni,SexMac,SSNgender,Highest_probF_ethnicity,Highest_probF_value
6876926_5,Jose Maria Abad Ribalta,SPA,0.999064335822625,Maria Abad Ribalta,Jose,HISPANIC,M,male,M,HISPANIC,91.327
11490904_3,Nuria Abad Santamaria,SPA,0.9960055383416824,Abad Santamaria,Nuria,HISPANIC,F,female,F,HISPANIC,98.614
16293052_2,Marta Abad-Collado,SPA,0.9056824894337644,Abad-Collado,Marta,HISPANIC,F,female,F,HISPANIC,54.947
493637_3,Albert Abad Esteve,SPA,0.96656429855745,Abad Esteve,Albert,HISPANIC,M,male,M,HISPANIC,35.355
8291674_1,Antonio Abad,SPA,0.7819255057200918,Abad,Antonio,HISPANIC,M,male,M,HISPANIC,60.083
15137839_3,Beatriz Abad-Garcia,SPA,0.9804330496706306,Abad-Garcia,Beatriz,HISPANIC,F,female,F,HISPANIC,99.756
1720605_2,Francisco Abad-Santos,SPA,0.9042271632710064,Abad-Santos,Francisco,HISPANIC,M,male,M,HISPANIC,97.114
15063749_3,Ana Abad,SPA,0.8935824062029655,Abad,Ana,HISPANIC,F,female,F,HISPANIC,91.852
19069998_4,Azam Khalighi Jamal-Abad,IND,0.5451134643486917,Khalighi Jamal-Abad,Azam,ARAB,M,male,M,ARAB,99.187
2093051_3,Enrique Vila Abad,SPA,0.9829645179400552,Vila Abad,Enrique,HISPANIC,M,male,M,HISPANIC,98.799
15993639_5,Fernanda Contieri Abad,SPA,0.6010975646807184,Contieri Abad,Fernanda,HISPANIC,F,female,F,HISPANIC,96.696
16843940_2,Javier Abad,SPA,0.8475933010621683,Abad,Javier,HISPANIC,M,mostly_male,M,HISPANIC,98.068
18488356_1,Gloria Abad,SPA,0.8206107595332518,Abad,Gloria,HISPANIC,F,female,F,HISPANIC,77.327
11965842_4,Isabel Ruiz Abad,SPA,0.8306236699899928,Ruiz Abad,Isabel,HISPANIC,F,female,F,HISPANIC,89.946
17190211_1,Pablo Garrido Abad,SPA,0.9503785222795916,Garrido Abad,Pablo,HISPANIC,M,male,M,HISPANIC,88.673
8438196_4,Yolanda Martinez Abad,SPA,0.907825944281444,Martinez Abad,Yolanda,HISPANIC,F,female,F,HISPANIC,96.293
13518924_2,Myriem Abada,FRN,0.9561728942546512,Abada,Myriem,ARAB-FRENCH,F,andy,-,ARAB,78.998
481012_6,Josep Maria Abadal Centellas,SPA,0.9985652258693524,Maria Abadal Centellas,Josep,HISPANIC,M,male,M,HISPANIC,99.381
1273365_1,Lluis Tomas Abadal,SPA,0.9037983955224504,Tomas Abadal,Lluis,HISPANIC,M,male,-,HISPANIC,94.289
17390894_4,Alizadeh Ali Abadi,ARA,0.9998793024055672,Ali Abadi,Alizadeh Ali,ARAB,M,andy,-,ARAB,99.338
16080607_7,Reza Mohammadabadi,ARA,0.9994559492235252,Mohammadabadi,Reza,ARAB,M,mostly_male,M,ARAB,97.588
12042087_1,Cesar Ernesto Abadia-Barrero,SPA,0.7681944909423684,Ernesto Abadia-Barrero,Cesar,HISPANIC,M,male,M,HISPANIC,98.345
12426332_1,Lorena Abadia Patino,SPA,0.9302376725586756,Abadia Patino,Lorena,HISPANIC,F,female,F,HISPANIC,80.44
9655411_4,Gustavo Perez Abadia,SPA,0.9737270862072254,Perez Abadia,Gustavo,HISPANIC,M,male,M,HISPANIC,98.2
2868311_2,Maria Jose Medrano,SPA,0.9317206312673456,Medrano,Maria Jose,HISPANIC,F,andy,-,HISPANIC,99.434
11459709_2,Sophie Abadie Lacourtoisie,FRN,0.999922766685354,Abadie Lacourtoisie,Sophie,FRENCH,F,female,F,FRENCH,90.933
8192660_1,Catherine Viollon-Abadie,FRN,0.8720473772242558,Viollon-Abadie,Catherine,FRENCH,F,female,F,FRENCH,74.48
6762234_3,Gerard Abadjian,FRN,0.9813187872655964,Abadjian,Gerard,FRENCH,M,male,M,FRENCH,58.886
10383787_2,Kerstin Taniguchi Abagge,JAP,0.9416135235574764,Taniguchi Abagge,Kerstin,JAPANESE-GERMAN,F,female,F,GERMAN,76.416
521833_4,Ignacio Abaitua Borda,SPA,0.9816819217435268,Abaitua Borda,Ignacio,HISPANIC,M,male,M,HISPANIC,98.426
15234771_1,Celia Abajo Del Alamo,SPA,0.9960054752553492,Abajo Del Alamo,Celia,HISPANIC,F,female,F,HISPANIC,78.99
11612553_2,Abakar-Ousman,ARA,0.9571640138111585,Abakar-Ousman,X,AFRICAN,-,andy,-,,0.0
129141_1,Julio Abalde Alonso,SPA,0.9986630539088314,Abalde Alonso,Julio,HISPANIC,M,male,M,HISPANIC,99.568
8304170_1,Emine Ercikan Ercikan-Abali,ITA,0.7854947828709062,Ercikan-Abali,Emine Ercikan,TURKISH,F,andy,-,TURKISH,98.243
17214971_3,Sandra Meidute Abaraviciene,GER,0.4137547880639714,Meidute Abaraviciene,Sandra,BALTIC,F,female,F,HISPANIC,33.238
9035503_3,Katia Abarca Villaseca,SPA,0.999723630922152,Abarca Villaseca,Katia,HISPANIC,F,female,F,HISPANIC,50.209
12683670_1,Belen Abarca-Gonzalez,SPA,0.9972761201363556,Abarca-Gonzalez,Belen,HISPANIC,F,andy,F,HISPANIC,98.858
16187698_2,Leonardo Abarca-Perez,SPA,0.9987886345337332,Abarca-Perez,Leonardo,HISPANIC,M,male,M,HISPANIC,70.205
7271871_3,Jorge Abarca-Quinones,SPA,0.9925140359044196,Abarca-Quinones,Jorge,HISPANIC,M,male,M,HISPANIC,91.715
11464266_4,Blanca Escudero-Abarca,SPA,0.999951799527894,Escudero-Abarca,Blanca,HISPANIC,F,female,F,HISPANIC,98.023
15551759_1,Fernando Abarzua,SPA,0.9184306040553316,Abarzua,Fernando,HISPANIC,M,male,M,HISPANIC,93.837
15567526_5,Flavio Guinez Abarzua,ITA,0.7258562561677836,Guinez Abarzua,Flavio,HISPANIC,M,male,M,HISPANIC,67.589
18968820_1,Radzi Bin Abas,ARA,0.6873389171041554,Abas,Radzi Bin,CHINESE,-,andy,-,CHINESE,70.878
8621814_3,Faustino Abascal,SPA,0.8673751765199517,Abascal,Faustino,HISPANIC,M,male,M,HISPANIC,81.724
742919_5,Ramon Abascal Garcia,SPA,0.841689033350586,Abascal Garcia,Ramon,HISPANIC,M,male,M,HISPANIC,99.231
696447_4,Manuel Abascal-Agorreta,SPA,0.9743279798320428,Abascal-Agorreta,Manuel,HISPANIC,M,male,M,HISPANIC,91.279
9620199_3,Alfonso Abascal-Zuloaga,SPA,0.9987695616189426,Abascal-Zuloaga,Alfonso,HISPANIC,M,male,M,HISPANIC,78.666
12226680_1,Fatih Abasiyanik,IND,0.7302298883249486,Abasiyanik,Fatih,TURKISH,M,male,M,TURKISH,99.668
12607014_4,Eider Abasolo Osinaga,SPA,0.9905490865164946,Abasolo Osinaga,Eider,HISPANIC,F,female,-,HISPANIC,99.223
11105433_1,Fuad Abed Abass,ARA,0.9857265451444962,Abed Abass,Fuad,ARAB,M,male,M,ARAB,66.044
14996011_3,Daniel Abate Daga,FRN,0.525830566078015,Daga,Daniel Abate,HISPANIC,M,andy,-,HISPANIC,98.944
12203082_4,Giuseppe Abate,ITA,0.9762033630824803,Abate,Giuseppe,ITALIAN,M,male,M,ITALIAN,98.248
8936786_1,Emmanuel Akinola Abayomi,FRN,0.789617520410136,Akinola Abayomi,Emmanuel,AFRICAN,M,male,M,FRENCH,62.098
